strDrink;strAlcoholic;strIngredient1;strIngredient2;strIngredient3;strIngredient4;strIngredient5;strIngredient6;strInstructions;strMeasure1;strMeasure2;strMeasure3;strMeasure4;strMeasure5;strMeasure6;Taste;Link
Americano;Alcoholic;Campari;Sweet Vermouth;Lemon peel;Orange peel;;;Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.;30 ml;30 mlred ;Twist of ;Twist of ; ; ;bitter;http://www.thecocktaildb.com/images/media/drink/trwruu1478253126.jpg
B-52;Alcoholic;Bailey's irish cream;Grand Marnier;Kahlua;;;;Layer ingredients into a shot glass. Serve with a stirrer.;1/3 ;1/3 ;1/4 ; ; ; ;neutral;http://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg
Bloody Mary;Alcoholic;Vodka;Tomato juice;Lemon juice;Worcestershire sauce;Tabasco sauce;Lime;Stirring gently, pour all ingredients into highball glass. Garnish.;45 ml;90 ml;1 dash ;1/2 tsp ;2-3 drops ;1 wedge ;neutral;http://www.thecocktaildb.com/images/media/drink/uyquuu1439906954.jpg
Blue Lagoon;Alcoholic;Vodka;Blue Curacao;Lemonade;Cherry;;;Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.;30 ml;30 ml;;;;;sweet;http://www.thecocktaildb.com/images/media/drink/vak0e51504389504.jpg
Caipirissima;Alcoholic;Lime;Sugar;Rum;Ice;;;Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.;2 ;2 tblsp ;60-90 ml ;crushed ; ; ;sour;http://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg
Campari Beer;Alcoholic;Lager;Campari;;;;;Use a 15 oz glass. Add Campari first. Fill with beer.;1 bottle ;15 ml; ; ; ; ;bitter;http://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg
Cosmopolitan;Alcoholic;Vodka;Lime juice;Cointreau;Cranberry juice;;;Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.;38 ml;8 ml;8 ml;1/4 cup ; ; ;neutral;http://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg
Daiquiri;Alcoholic;Rum;Lime;Powdered sugar;;;;Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.;45 ml;Juice of 1/2 ;1 tsp ; ; ; ;sour;http://www.thecocktaildb.com/images/media/drink/usuuur1439906797.jpg
Espresso Martini;Alcoholic;Vodka;Kahlua;Sugar syrup;;;;Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass;50 ml;10 ml;1 dash;;;;sweet;http://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg
Frozen Daiquiri;Alcoholic;Rum;Triple sec;Lime juice;Sugar;Cherry;Ice;Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.;45 ml;1 tblsp ;45 ml;1 tsp ;1 ;1 cup crushed ;sour;http://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg
Gin And Tonic;Alcoholic;Gin;Tonic water;Lime;;;;Pour the gin and the tonic water into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge.;60 ml ;150 ml;1 ; ; ; ;neutral;http://www.thecocktaildb.com/images/media/drink/wtyxvx1472405831.jpg
Gin Fizz;Alcoholic;Gin;Lemon;Powdered sugar;Carbonated water;;;Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.;60 ml ;Juice of 1/2 ;1 tsp ;;;;sour;http://www.thecocktaildb.com/images/media/drink/xhl8q31504351772.jpg
Gin Sour;Alcoholic;Gin;Lemon juice;Sugar;Orange;Maraschino cherry;;In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.;60 ml ;30 ml;1/2 tsp superfine ;1 ;1 ; ;sour;http://www.thecocktaildb.com/images/media/drink/mt7l7m1504883523.jpg
Havana Cocktail;Alcoholic;Rum;Pineapple juice;Lemon juice;;;;In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.;30 ml;30 ml;1 tsp ; ; ; ;sweet;http://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg
Hawaiian Cocktail;Alcoholic;Gin;Triple sec;Pineapple juice;;;;Shake all ingredients with ice, strain into a cocktail glass, and serve.;60 ml ;15 ml;1 tblsp ; ; ; ;sweet;http://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg
Imperial Cocktail;Alcoholic;Lime juice;Gin;Aperol;;;;Shake with ice and strain into cocktail glass.;40 ml;20 ml;40 ml; ; ; ;neutral;http://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg
Ipamena;Non Alcoholic;Lime;Brown sugar;Passion fruit juice;Ginger ale;Ice;;Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime; half of;2 tsp;40 ml;top up with;fill;;sweet;http://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg
Just a Moonmint;Non alcoholic;Milk;Chocolate syrup;Mint syrup;;;;Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.;2 cups ;;;;;;sweet;http://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg
Limona Corona;Alcoholic;Corona;Rum;;;;;Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink.;1 bottle ;30 ml; ; ; ; ;sour;http://www.thecocktaildb.com/images/media/drink/wwqrsw1441248662.jpg
Mai Tai;Alcoholic;Rum;Orgeat syrup;Triple sec;Sweet and sour;Cherry;;Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.;30 ml;15 ml;15 ml;45 ml;1 ; ;sour;http://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg
Manhattan;Alcoholic;Sweet Vermouth;Whiskey;Angostura bitters;Ice;Maraschino cherry;Orange peel;Stirred over ice, strained into a chilled glass, garnished, and served up.;22 ml;75 ml Blended ;dash ;2 or 3 ;1 ;1 twist of ;bitter;http://www.thecocktaildb.com/images/media/drink/ec2jtz1504350429.jpg
